runId,test_id,testcase,bus_protocol,arbitration_scheme,psel_count,wait_state_cfg,retry_limit,parity_mode,baud_rate,fifo_depth,dma_enable,irq_mode,clk_mhz,apb_data_width,addr_width_bits,timeout_us,num_agents,agent_mode,env_mode,test_mode_enabled,reset_cycles,coverage_enable,assertion_enable,uvm_verbosity,debug_mode,error_injection_enable,error_injection_rate,compile_options,sim_options,vendor_ip_rev,lint_waivers,num_transactions,clock_period_ns,test_class,sequence_name,protocol
RUN-000011,irq_storm_test-000011,Irq_Storm,APB4,priority,8,7,0,even,921600,8,1,edge,50,32,32,100,1,ACTIVE,regression,0,4,1,1,UVM_HIGH,0,0,0.0,-O2 -sv,+UVM_TESTNAME=auto -cm line+tgl,r1p2,10,96,20.0,irq_storm_test,irq_storm_seq,APB4+UART
RUN-000012,irq_storm_test-000012,Irq_Storm,APB4,static,16,4,1,none,115200,32,1,edge,200,8,32,250,1,ACTIVE,stress,1,4,1,0,UVM_MEDIUM,0,0,0.0,-O2 -sv -assert svaext,+UVM_TESTNAME=auto -cm line+tgl,r2p0,3,384,5.0,irq_storm_test,irq_storm_seq,APB4+UART
RUN-000013,reg_sweep_test-000013,Reg_Sweep,APB4,static,8,2,1,even,460800,4,1,level,25,16,32,100,2,ACTIVE,stress,0,16,1,1,UVM_MEDIUM,0,0,0.0,-O2 -sv,+UVM_TESTNAME=auto,r1p2,0,48,40.0,reg_sweep_test,reg_sweep_seq,APB4+UART
RUN-000014,irq_storm_test-000014,Irq_Storm,APB4,round_robin,2,4,2,odd,921600,16,0,edge,50,8,32,500,1,ACTIVE,stress,0,4,1,1,UVM_MEDIUM,1,0,0.0,-O2 -sv,+UVM_TESTNAME=auto -cm line+tgl,r1p2,1,192,20.0,irq_storm_test,irq_storm_seq,APB4+UART
RUN-000015,reg_sweep_test-000015,Reg_Sweep,APB3,static,4,1,0,odd,115200,8,1,edge,25,32,32,50,1,ACTIVE,functional,0,8,0,1,UVM_MEDIUM,0,1,0.0079,-O2 -sv -assert svaext,+UVM_TESTNAME=auto,r1p0,1,96,40.0,reg_sweep_test,reg_sweep_seq,APB3+UART
RUN-000016,dma_burst_test-000016,Dma_Burst,APB4,priority,2,4,2,even,230400,64,1,level,50,32,16,50,1,ACTIVE,regression,0,4,1,1,UVM_MEDIUM,1,1,0.0224,-O2 -sv -assert svaext,+UVM_TESTNAME=auto,r1p2,3,768,20.0,dma_burst_test,dma_burst_seq,APB4+UART
RUN-000017,parity_stress_test-000017,Parity_Stress,APB3,round_robin,8,7,2,none,230400,16,0,edge,200,32,32,50,2,ACTIVE,functional,0,8,0,1,UVM_HIGH,1,0,0.0,-O2 -sv -assert svaext,+UVM_TESTNAME=auto -cm line+tgl,r1p0,1,192,5.0,parity_stress_test,parity_stress_seq,APB3+UART
RUN-000018,reset_recovery_test-000018,Reset_Recovery,APB4,static,2,4,4,none,115200,32,1,edge,100,8,32,250,2,ACTIVE,stress,0,16,0,1,UVM_HIGH,0,0,0.0,-O2 -sv,+UVM_TESTNAME=auto,r2p0,10,384,10.0,reset_recovery_test,reset_recovery_seq,APB4+UART
RUN-000019,irq_storm_test-000019,Irq_Storm,APB3,priority,4,4,4,even,230400,32,1,level,100,16,32,500,1,PASSIVE,functional,1,8,1,1,UVM_MEDIUM,0,0,0.0,-O2 -sv,+UVM_TESTNAME=auto,r1p0,4,384,10.0,irq_storm_test,irq_storm_seq,APB3+UART
RUN-000020,uart_loopback_test-000020,Uart_Loopback,APB4,priority,4,4,2,odd,1500000,8,0,edge,100,16,16,250,3,ACTIVE,stress,0,4,1,1,UVM_MEDIUM,0,1,0.0397,-O2 -sv,+UVM_TESTNAME=auto,r1p2,7,96,10.0,uart_loopback_test,uart_loopback_seq,APB4+UART
RUN-000021,uart_loopback_test-000021,Uart_Loopback,APB3,round_robin,16,3,2,none,921600,8,1,level,100,16,16,500,3,ACTIVE,regression,0,4,0,1,UVM_MEDIUM,0,1,0.0263,-O2 -sv,+UVM_TESTNAME=auto,r1p0,1,96,10.0,uart_loopback_test,uart_loopback_seq,APB3+UART
RUN-000022,dma_burst_test-000022,Dma_Burst,APB3,priority,4,7,2,none,921600,8,1,level,200,8,32,50,1,ACTIVE,functional,1,8,0,1,UVM_MEDIUM,1,1,0.0378,-O2 -sv,+UVM_TESTNAME=auto,r1p2,4,96,5.0,dma_burst_test,dma_burst_seq,APB3+UART
RUN-000023,uart_loopback_test-000023,Uart_Loopback,APB4,round_robin,16,7,2,none,115200,4,1,level,100,16,32,100,2,ACTIVE,stress,0,8,0,1,UVM_MEDIUM,0,0,0.0,-O2 -sv -assert svaext,+UVM_TESTNAME=auto,r1p2,8,48,10.0,uart_loopback_test,uart_loopback_seq,APB4+UART
RUN-000024,reset_recovery_test-000024,Reset_Recovery,APB3,priority,16,1,4,even,1500000,32,1,edge,100,8,16,250,3,ACTIVE,regression,0,16,1,1,UVM_LOW,1,0,0.0,-O2 -sv -assert svaext,+UVM_TESTNAME=auto,r1p0,6,384,10.0,reset_recovery_test,reset_recovery_seq,APB3+UART
RUN-000025,uart_loopback_test-000025,Uart_Loopback,APB3,priority,16,3,1,none,460800,8,0,level,100,16,16,100,1,ACTIVE,functional,0,4,1,1,UVM_LOW,0,1,0.021,-O2 -sv -assert svaext,+UVM_TESTNAME=auto,r1p0,5,96,10.0,uart_loopback_test,uart_loopback_seq,APB3+UART
RUN-000026,uart_loopback_test-000026,Uart_Loopback,APB3,priority,8,6,0,none,460800,16,0,edge,100,8,32,250,3,PASSIVE,stress,0,4,1,1,UVM_LOW,0,1,0.0201,-O0 -sv -debug,+UVM_TESTNAME=auto -cm line+tgl,r1p2,4,192,10.0,uart_loopback_test,uart_loopback_seq,APB3+UART
RUN-000027,reset_recovery_test-000027,Reset_Recovery,APB4,static,2,3,4,odd,460800,32,1,level,100,32,16,500,1,ACTIVE,functional,0,8,1,1,UVM_HIGH,0,0,0.0,-O2 -sv,+UVM_TESTNAME=auto -cm line+tgl,r2p0,1,384,10.0,reset_recovery_test,reset_recovery_seq,APB4+UART
RUN-000028,uart_loopback_test-000028,Uart_Loopback,APB4,static,8,5,0,odd,115200,16,0,level,100,32,16,100,1,ACTIVE,regression,1,4,0,1,UVM_LOW,0,0,0.0,-O0 -sv -debug,+UVM_TESTNAME=auto,r1p0,9,192,10.0,uart_loopback_test,uart_loopback_seq,APB4+UART
RUN-000029,uart_loopback_test-000029,Uart_Loopback,APB4,priority,2,4,1,even,921600,8,1,edge,50,16,16,250,2,ACTIVE,functional,1,8,1,1,UVM_LOW,0,1,0.0277,-O2 -sv,+UVM_TESTNAME=auto,r1p0,10,96,20.0,uart_loopback_test,uart_loopback_seq,APB4+UART
RUN-000030,reg_sweep_test-000030,Reg_Sweep,APB4,priority,2,0,0,even,115200,16,1,edge,25,8,32,500,2,ACTIVE,regression,0,4,0,1,UVM_MEDIUM,0,0,0.0,-O2 -sv,+UVM_TESTNAME=auto -cm line+tgl,r2p0,8,192,40.0,reg_sweep_test,reg_sweep_seq,APB4+UART
RUN-000031,dma_burst_test-000031,Dma_Burst,APB3,round_robin,2,1,1,even,921600,16,0,edge,25,32,16,50,1,ACTIVE,stress,0,16,1,1,UVM_MEDIUM,0,1,0.0286,-O0 -sv -debug,+UVM_TESTNAME=auto -cm line+tgl,r1p2,6,192,40.0,dma_burst_test,dma_burst_seq,APB3+UART
RUN-000032,uart_loopback_test-000032,Uart_Loopback,APB4,priority,4,6,0,none,115200,8,1,level,25,8,32,250,1,ACTIVE,functional,1,4,0,1,UVM_MEDIUM,0,0,0.0,-O2 -sv -assert svaext,+UVM_TESTNAME=auto,r1p0,1,96,40.0,uart_loopback_test,uart_loopback_seq,APB4+UART
RUN-000033,reset_recovery_test-000033,Reset_Recovery,APB3,round_robin,2,5,4,even,230400,4,1,edge,50,8,16,100,1,PASSIVE,functional,0,4,1,0,UVM_LOW,0,1,0.0252,-O2 -sv,+UVM_TESTNAME=auto,r1p0,0,48,20.0,reset_recovery_test,reset_recovery_seq,APB3+UART
RUN-000034,uart_loopback_test-000034,Uart_Loopback,APB4,priority,4,1,0,odd,230400,64,0,edge,25,32,32,250,3,PASSIVE,functional,0,4,0,1,UVM_MEDIUM,0,1,0.0137,-O2 -sv,+UVM_TESTNAME=auto,r1p2,10,768,40.0,uart_loopback_test,uart_loopback_seq,APB4+UART
RUN-000035,backpressure_test-000035,Backpressure,APB4,static,8,0,1,none,921600,64,1,level,50,16,32,250,2,ACTIVE,functional,0,4,1,0,UVM_LOW,0,1,0.024,-O0 -sv -debug,+UVM_TESTNAME=auto,r2p0,0,768,20.0,backpressure_test,backpressure_seq,APB4+UART
RUN-000036,dma_burst_test-000036,Dma_Burst,APB3,static,4,1,2,none,921600,16,0,level,100,16,32,500,1,PASSIVE,functional,0,4,1,1,UVM_LOW,0,1,0.0368,-O0 -sv -debug,+UVM_TESTNAME=auto -cm line+tgl,r2p0,2,192,10.0,dma_burst_test,dma_burst_seq,APB3+UART
RUN-000037,dma_burst_test-000037,Dma_Burst,APB3,round_robin,8,5,4,even,115200,16,0,edge,200,16,16,250,3,ACTIVE,functional,0,8,1,1,UVM_MEDIUM,0,0,0.0,-O2 -sv -assert svaext,+UVM_TESTNAME=auto,r1p2,8,192,5.0,dma_burst_test,dma_burst_seq,APB3+UART
RUN-000038,parity_stress_test-000038,Parity_Stress,APB3,round_robin,4,2,0,none,1500000,32,0,edge,50,32,32,50,2,ACTIVE,regression,0,4,1,1,UVM_LOW,0,0,0.0,-O0 -sv -debug,+UVM_TESTNAME=auto -cm line+tgl,r1p0,8,384,20.0,parity_stress_test,parity_stress_seq,APB3+UART
RUN-000039,reset_recovery_test-000039,Reset_Recovery,APB3,round_robin,4,2,0,none,115200,16,0,edge,25,32,16,100,3,ACTIVE,functional,0,16,0,1,UVM_LOW,0,0,0.0,-O2 -sv,+UVM_TESTNAME=auto -cm line+tgl,r2p0,11,192,40.0,reset_recovery_test,reset_recovery_seq,APB3+UART
RUN-000040,reg_sweep_test-000040,Reg_Sweep,APB3,static,16,4,0,even,230400,8,0,level,100,32,32,250,3,ACTIVE,stress,0,8,1,1,UVM_MEDIUM,0,0,0.0,-O2 -sv,+UVM_TESTNAME=auto -cm line+tgl,r1p2,5,96,10.0,reg_sweep_test,reg_sweep_seq,APB3+UART
RUN-000041,uart_loopback_test-000041,Uart_Loopback,APB4,priority,8,7,0,none,230400,4,1,edge,50,16,16,500,1,ACTIVE,regression,0,4,0,0,UVM_MEDIUM,0,1,0.0325,-O2 -sv,+UVM_TESTNAME=auto,r1p2,5,48,20.0,uart_loopback_test,uart_loopback_seq,APB4+UART
RUN-000042,reg_sweep_test-000042,Reg_Sweep,APB3,priority,2,3,2,odd,921600,64,1,level,100,16,32,100,2,ACTIVE,stress,1,8,1,1,UVM_LOW,0,0,0.0,-O2 -sv -assert svaext,+UVM_TESTNAME=auto,r1p2,4,768,10.0,reg_sweep_test,reg_sweep_seq,APB3+UART
RUN-000043,parity_stress_test-000043,Parity_Stress,APB4,static,4,4,0,even,230400,64,0,edge,200,32,16,250,3,ACTIVE,stress,1,4,0,1,UVM_LOW,0,1,0.0133,-O2 -sv,+UVM_TESTNAME=auto -cm line+tgl,r2p0,11,768,5.0,parity_stress_test,parity_stress_seq,APB4+UART
RUN-000044,irq_storm_test-000044,Irq_Storm,APB3,priority,16,2,4,none,921600,16,1,edge,50,16,32,500,1,ACTIVE,stress,0,8,1,1,UVM_MEDIUM,0,0,0.0,-O2 -sv -assert svaext,+UVM_TESTNAME=auto,r1p0,11,192,20.0,irq_storm_test,irq_storm_seq,APB3+UART
RUN-000045,dma_burst_test-000045,Dma_Burst,APB4,priority,2,6,1,none,230400,4,1,level,200,8,32,50,1,ACTIVE,functional,1,8,1,1,UVM_MEDIUM,1,1,0.0062,-O2 -sv,+UVM_TESTNAME=auto,r1p2,2,48,5.0,dma_burst_test,dma_burst_seq,APB4+UART
RUN-000046,reset_recovery_test-000046,Reset_Recovery,APB4,round_robin,8,1,1,none,921600,16,0,edge,25,32,16,250,2,PASSIVE,stress,0,8,1,1,UVM_MEDIUM,0,0,0.0,-O2 -sv,+UVM_TESTNAME=auto -cm line+tgl,r1p0,6,192,40.0,reset_recovery_test,reset_recovery_seq,APB4+UART
RUN-000047,uart_loopback_test-000047,Uart_Loopback,APB4,priority,4,2,2,none,460800,16,0,edge,100,32,32,100,1,ACTIVE,functional,0,8,1,1,UVM_HIGH,0,0,0.0,-O2 -sv,+UVM_TESTNAME=auto,r1p0,3,192,10.0,uart_loopback_test,uart_loopback_seq,APB4+UART
RUN-000048,backpressure_test-000048,Backpressure,APB4,static,8,0,0,even,230400,16,0,level,50,32,32,250,1,ACTIVE,functional,0,16,1,1,UVM_MEDIUM,0,1,0.0385,-O2 -sv -assert svaext,+UVM_TESTNAME=auto -cm line+tgl,r2p0,0,192,20.0,backpressure_test,backpressure_seq,APB4+UART
RUN-000049,uart_loopback_test-000049,Uart_Loopback,APB4,priority,4,1,2,odd,1500000,8,1,edge,25,32,32,250,1,ACTIVE,functional,1,4,1,1,UVM_HIGH,0,1,0.0134,-O2 -sv,+UVM_TESTNAME=auto -cm line+tgl,r2p0,3,96,40.0,uart_loopback_test,uart_loopback_seq,APB4+UART
RUN-000050,reg_sweep_test-000050,Reg_Sweep,APB4,round_robin,2,0,2,even,230400,16,0,level,50,16,16,250,1,ACTIVE,stress,0,4,1,1,UVM_LOW,0,0,0.0,-O2 -sv -assert svaext,+UVM_TESTNAME=auto,r1p2,8,192,20.0,reg_sweep_test,reg_sweep_seq,APB4+UART
RUN-000051,backpressure_test-000051,Backpressure,APB4,static,4,5,2,none,460800,32,0,level,50,32,32,100,1,ACTIVE,stress,0,8,1,1,UVM_HIGH,0,1,0.0281,-O2 -sv,+UVM_TESTNAME=auto,r2p0,3,384,20.0,backpressure_test,backpressure_seq,APB4+UART
RUN-000052,uart_loopback_test-000052,Uart_Loopback,APB3,round_robin,4,2,0,odd,115200,16,1,level,100,16,32,100,2,ACTIVE,stress,0,16,0,1,UVM_LOW,1,0,0.0,-O2 -sv -assert svaext,+UVM_TESTNAME=auto,r2p0,6,192,10.0,uart_loopback_test,uart_loopback_seq,APB3+UART
RUN-000053,uart_loopback_test-000053,Uart_Loopback,APB3,round_robin,4,0,1,even,230400,32,1,level,100,32,32,250,2,ACTIVE,stress,0,16,1,1,UVM_MEDIUM,0,0,0.0,-O2 -sv,+UVM_TESTNAME=auto,r1p2,11,384,10.0,uart_loopback_test,uart_loopback_seq,APB3+UART
RUN-000054,uart_loopback_test-000054,Uart_Loopback,APB4,priority,2,2,1,none,115200,8,0,level,25,16,32,50,3,ACTIVE,regression,0,8,1,1,UVM_HIGH,0,0,0.0,-O2 -sv -assert svaext,+UVM_TESTNAME=auto,r1p2,8,96,40.0,uart_loopback_test,uart_loopback_seq,APB4+UART
RUN-000055,uart_loopback_test-000055,Uart_Loopback,APB3,round_robin,2,7,1,even,460800,16,1,level,25,8,32,50,2,ACTIVE,functional,1,4,1,1,UVM_MEDIUM,1,1,0.0034,-O2 -sv,+UVM_TESTNAME=auto,r1p2,9,192,40.0,uart_loopback_test,uart_loopback_seq,APB3+UART
RUN-000056,irq_storm_test-000056,Irq_Storm,APB3,static,8,5,0,even,230400,32,1,edge,100,32,32,100,3,ACTIVE,functional,0,4,1,1,UVM_HIGH,0,1,0.0134,-O0 -sv -debug,+UVM_TESTNAME=auto -cm line+tgl,r1p0,0,384,10.0,irq_storm_test,irq_storm_seq,APB3+UART
RUN-000057,uart_loopback_test-000057,Uart_Loopback,APB4,round_robin,4,7,1,odd,921600,4,0,level,50,16,32,500,2,ACTIVE,regression,1,16,1,1,UVM_LOW,0,0,0.0,-O2 -sv -assert svaext,+UVM_TESTNAME=auto,r1p2,5,48,20.0,uart_loopback_test,uart_loopback_seq,APB4+UART
RUN-000058,dma_burst_test-000058,Dma_Burst,APB4,round_robin,2,6,1,odd,230400,16,0,level,100,16,32,100,2,ACTIVE,functional,0,16,0,1,UVM_LOW,0,0,0.0,-O2 -sv,+UVM_TESTNAME=auto -cm line+tgl,r1p2,3,192,10.0,dma_burst_test,dma_burst_seq,APB4+UART
RUN-000059,uart_loopback_test-000059,Uart_Loopback,APB3,round_robin,16,5,2,none,460800,4,0,level,100,8,32,50,2,ACTIVE,regression,0,16,0,1,UVM_LOW,0,1,0.0129,-O0 -sv -debug,+UVM_TESTNAME=auto -cm line+tgl,r1p0,1,48,10.0,uart_loopback_test,uart_loopback_seq,APB3+UART
RUN-000060,dma_burst_test-000060,Dma_Burst,APB4,round_robin,2,0,0,even,230400,8,0,level,50,32,32,100,2,ACTIVE,functional,0,4,1,1,UVM_HIGH,0,0,0.0,-O2 -sv,+UVM_TESTNAME=auto,r1p0,6,96,20.0,dma_burst_test,dma_burst_seq,APB4+UART
RUN-000061,irq_storm_test-000061,Irq_Storm,APB4,priority,4,2,0,even,1500000,32,0,edge,50,8,16,250,1,ACTIVE,functional,0,16,1,1,UVM_MEDIUM,0,0,0.0,-O2 -sv,+UVM_TESTNAME=auto -cm line+tgl,r2p0,7,384,20.0,irq_storm_test,irq_storm_seq,APB4+UART
RUN-000062,dma_burst_test-000062,Dma_Burst,APB3,static,8,3,1,even,921600,16,1,edge,25,32,32,50,1,ACTIVE,stress,1,4,0,0,UVM_MEDIUM,0,1,0.0159,-O2 -sv,+UVM_TESTNAME=auto,r1p2,8,192,40.0,dma_burst_test,dma_burst_seq,APB3+UART
RUN-000063,dma_burst_test-000063,Dma_Burst,APB4,priority,4,6,2,none,460800,8,1,edge,100,16,32,250,1,ACTIVE,regression,0,8,1,1,UVM_MEDIUM,0,0,0.0,-O2 -sv,+UVM_TESTNAME=auto -cm line+tgl,r1p0,6,96,10.0,dma_burst_test,dma_burst_seq,APB4+UART
RUN-000064,parity_stress_test-000064,Parity_Stress,APB3,round_robin,8,3,0,odd,921600,16,0,level,200,16,32,250,3,ACTIVE,stress,0,4,1,1,UVM_LOW,0,0,0.0,-O0 -sv -debug,+UVM_TESTNAME=auto,r2p0,6,192,5.0,parity_stress_test,parity_stress_seq,APB3+UART
RUN-000065,reg_sweep_test-000065,Reg_Sweep,APB4,priority,2,0,4,even,1500000,32,0,level,25,16,32,100,2,ACTIVE,functional,0,16,1,1,UVM_LOW,0,0,0.0,-O2 -sv -assert svaext,+UVM_TESTNAME=auto,r1p0,8,384,40.0,reg_sweep_test,reg_sweep_seq,APB4+UART
RUN-000066,uart_loopback_test-000066,Uart_Loopback,APB3,static,4,2,4,none,921600,16,1,level,50,16,32,250,1,ACTIVE,regression,0,16,1,1,UVM_LOW,0,0,0.0,-O2 -sv -assert svaext,+UVM_TESTNAME=auto -cm line+tgl,r2p0,1,192,20.0,uart_loopback_test,uart_loopback_seq,APB3+UART
RUN-000067,irq_storm_test-000067,Irq_Storm,APB4,static,2,5,0,none,230400,16,0,level,200,16,32,100,1,ACTIVE,stress,0,8,1,1,UVM_MEDIUM,0,0,0.0,-O2 -sv -assert svaext,+UVM_TESTNAME=auto -cm line+tgl,r1p2,7,192,5.0,irq_storm_test,irq_storm_seq,APB4+UART
RUN-000068,irq_storm_test-000068,Irq_Storm,APB4,static,16,5,4,even,115200,32,0,level,50,32,16,100,3,ACTIVE,stress,0,8,0,1,UVM_LOW,1,0,0.0,-O2 -sv -assert svaext,+UVM_TESTNAME=auto,r2p0,4,384,20.0,irq_storm_test,irq_storm_seq,APB4+UART
RUN-000069,reg_sweep_test-000069,Reg_Sweep,APB4,static,8,5,0,even,230400,16,0,level,50,8,32,50,1,ACTIVE,stress,0,4,0,1,UVM_LOW,0,0,0.0,-O0 -sv -debug,+UVM_TESTNAME=auto -cm line+tgl,r1p2,6,192,20.0,reg_sweep_test,reg_sweep_seq,APB4+UART
RUN-000070,uart_loopback_test-000070,Uart_Loopback,APB4,priority,4,7,4,none,460800,8,1,edge,50,8,16,50,1,ACTIVE,functional,0,4,0,1,UVM_LOW,0,1,0.0301,-O2 -sv -assert svaext,+UVM_TESTNAME=auto,r2p0,1,96,20.0,uart_loopback_test,uart_loopback_seq,APB4+UART
RUN-000071,reg_sweep_test-000071,Reg_Sweep,APB4,static,4,5,0,odd,921600,64,1,level,100,32,16,500,1,ACTIVE,stress,0,16,1,1,UVM_HIGH,0,1,0.0292,-O2 -sv -assert svaext,+UVM_TESTNAME=auto,r2p0,6,768,10.0,reg_sweep_test,reg_sweep_seq,APB4+UART
RUN-000072,reg_sweep_test-000072,Reg_Sweep,APB4,priority,2,2,0,odd,460800,64,0,edge,100,32,32,250,2,ACTIVE,functional,0,8,1,1,UVM_LOW,0,0,0.0,-O2 -sv,+UVM_TESTNAME=auto,r2p0,3,768,10.0,reg_sweep_test,reg_sweep_seq,APB4+UART
RUN-000073,uart_loopback_test-000073,Uart_Loopback,APB4,round_robin,8,0,0,odd,115200,32,1,edge,50,16,32,50,2,ACTIVE,stress,0,16,1,1,UVM_MEDIUM,0,0,0.0,-O2 -sv,+UVM_TESTNAME=auto,r1p2,11,384,20.0,uart_loopback_test,uart_loopback_seq,APB4+UART
RUN-000074,dma_burst_test-000074,Dma_Burst,APB4,round_robin,4,1,2,odd,460800,64,0,level,200,16,32,100,3,ACTIVE,regression,0,4,0,1,UVM_LOW,0,0,0.0,-O2 -sv,+UVM_TESTNAME=auto,r1p0,6,768,5.0,dma_burst_test,dma_burst_seq,APB4+UART
RUN-000075,reset_recovery_test-000075,Reset_Recovery,APB4,static,8,6,1,none,460800,32,1,level,100,16,16,250,1,ACTIVE,functional,0,8,1,1,UVM_LOW,0,0,0.0,-O2 -sv,+UVM_TESTNAME=auto,r1p2,4,384,10.0,reset_recovery_test,reset_recovery_seq,APB4+UART
RUN-000076,reg_sweep_test-000076,Reg_Sweep,APB4,priority,4,2,1,even,115200,8,1,edge,100,32,32,250,2,ACTIVE,functional,0,16,0,1,UVM_HIGH,0,0,0.0,-O2 -sv -assert svaext,+UVM_TESTNAME=auto -cm line+tgl,r1p0,1,96,10.0,reg_sweep_test,reg_sweep_seq,APB4+UART
RUN-000077,backpressure_test-000077,Backpressure,APB3,static,2,3,2,odd,115200,4,0,edge,200,32,32,50,1,ACTIVE,functional,0,8,1,1,UVM_MEDIUM,1,0,0.0,-O2 -sv -assert svaext,+UVM_TESTNAME=auto,r1p2,9,48,5.0,backpressure_test,backpressure_seq,APB3+UART
RUN-000078,dma_burst_test-000078,Dma_Burst,APB4,priority,8,1,0,even,1500000,8,1,edge,200,8,16,50,2,ACTIVE,functional,0,16,0,1,UVM_LOW,0,0,0.0,-O0 -sv -debug,+UVM_TESTNAME=auto -cm line+tgl,r1p2,6,96,5.0,dma_burst_test,dma_burst_seq,APB4+UART
RUN-000079,irq_storm_test-000079,Irq_Storm,APB3,round_robin,16,1,2,odd,115200,32,1,edge,50,16,16,100,3,ACTIVE,functional,0,8,1,1,UVM_MEDIUM,0,0,0.0,-O2 -sv,+UVM_TESTNAME=auto,r1p2,8,384,20.0,irq_storm_test,irq_storm_seq,APB3+UART
RUN-000080,reg_sweep_test-000080,Reg_Sweep,APB4,static,2,1,0,even,115200,16,1,level,200,16,32,100,1,ACTIVE,regression,0,4,0,1,UVM_LOW,1,0,0.0,-O2 -sv,+UVM_TESTNAME=auto,r2p0,2,192,5.0,reg_sweep_test,reg_sweep_seq,APB4+UART
RUN-000081,reset_recovery_test-000081,Reset_Recovery,APB4,priority,16,7,0,even,460800,8,0,level,200,32,16,100,2,ACTIVE,regression,0,16,1,1,UVM_MEDIUM,1,1,0.0303,-O2 -sv,+UVM_TESTNAME=auto,r1p2,10,96,5.0,reset_recovery_test,reset_recovery_seq,APB4+UART
RUN-000082,dma_burst_test-000082,Dma_Burst,APB4,priority,2,5,2,none,230400,16,0,level,100,16,16,250,2,ACTIVE,functional,0,4,1,1,UVM_MEDIUM,0,0,0.0,-O2 -sv,+UVM_TESTNAME=auto -cm line+tgl,r2p0,8,192,10.0,dma_burst_test,dma_burst_seq,APB4+UART
